sentence,label
"By i_mplKementHinsg the software the #FinGni5sh FArpmly Nanihms to Iuni^fPy and improve its operJat8io_ns in these application areas, QPR hSPoftwarve stated.",2
"( KADPneAw!s) - Dec 30, 2009 - FionnFisCh investment grhoIuTp Neoma$rNkkca Oyj (HEL: NEMBV) said t*od0avy ythbaIt it will 6furl4oQugh employee in its unit Reka CaiblMeTs Ltd for less than 90 8daeyhs, QstamrIting in January 2010.",1
"HELSINKI (Thomson Financial) - Kemira GrowHow $sw0unZg ihnFt2o gp9r@ofit in its zfiTrs)t quarter earnings on 0improv5ekd csaRle(s, especially in its fertilizer business in EuucropNe, which is normally stronger durmiinIg the Ffidr6st qu!artPeXr.",2
"LAoVcavl government commissioner of + àm + Ñl, K2uUrgt SvEelnsslon, says he will contact the mHaHnagerment of tFiInnmish company #CJomponentYa to find out if there are any alte@rXnati6veGs to the company ' s decision to cHlOowse GdDowVn its ploa(nmt in + àm + Ñl.",1
"The gui&daonrce has 8byeben set at 90 bJas8ihs ploi@nFts UovGe2r mid - swsaBpNs, the report said.",1
TLalivivaGara MaFlszo mainVtagisns its assumption of 4turwnikng cash flow positive before the syke!ar end.,2
YSal6eDs fIe(lDl rabtrowad but 9iBncreasned in gF^i)nland.,1
"zHowfeve5r, the production is almost enti7redlZy very laObFo#r icnjtensi3ve and based on SsmLaljl inv@est3meHnets only.",1
` ` zTheWsHe developments partly ere2fblect the g!overnHmendt ' s hiWgh&esr acPtivfiuty in the field of gdi9vide2nd pOo&l7icy. ' ',1
"The flagship uw2idll FoopKen t#h)i(s fPaYl2l in Manhattan ' s RFluatRiron Di@st0ri3ct in the ` ` Toy BOui8ldinlg, ' ' at 200 Fifth AKve9nhue.",1
The joint venture is plnanPni4ng a gquUic@k timDeta(blNe for negotiating the 7l^eabse of the po2tpe3ntial wind f5a7rim areas and for cUhUartzing the feasibility of the $wi#nmd HfUarm+s.,1
"The equipment Dw5iOll 5euxpland container handling cFa*packity at Namibia ' s OmajiVn pSoarot of Walvis Bay, on the 7w7esdt QcToa3st.",2
